order_no,booking_dt,rent_start_dt,rent_end_dt,acct_id,depart_parking_lot_id,return_parking_lot_id,mileage_diff,car_series_name
ORD0000001,2024-10-09 07:50:00,2024-10-09 08:03:00,2024-10-09 08:44:00,U05544,500107071,500101210,6.91,YouBike 2.0 電輔版
ORD0000002,2024-12-25 16:53:00,2024-12-25 17:02:00,2024-12-25 18:20:00,U00768,500101038,500101038,19.49,折疊單車
ORD0000003,2023-09-22 23:36:00,2023-09-23 00:07:00,2023-09-23 00:37:00,U04465,500107003,500107003,7.35,YouBike 2.0 電輔版
ORD0000004,2023-04-09 12:43:00,2023-04-09 13:07:00,2023-04-09 13:29:00,U07122,500111045,500111045,5.04,YouBike 2.0 電輔版
ORD0000005,2024-03-22 12:30:00,2024-03-22 13:05:00,2024-03-22 13:45:00,U02758,500107083,500101026,10.23,折疊單車
ORD0000006,2025-05-02 09:33:00,2025-05-02 10:02:00,2025-05-02 10:55:00,U02818,500101207,500101207,11.76,YouBike 1.0 一般版
ORD0000007,2024-05-09 15:49:00,2024-05-09 16:08:00,2024-05-09 16:31:00,U03101,500106132,500104006,6.23,YouBike 1.0 一般版
ORD0000008,2024-01-11 14:32:00,2024-01-11 15:09:00,2024-01-11 15:48:00,U07060,500104009,500104009,10.2,折疊單車
ORD0000009,2023-08-26 11:41:00,2023-08-26 12:06:00,2023-08-26 12:39:00,U00654,500106017,500106017,8.94,YouBike 1.0 一般版
ORD0000010,2024-03-08 10:57:00,2024-03-08 11:07:00,2024-03-08 11:44:00,U03715,500106127,500106127,10.54,YouBike 2.0 電輔版
ORD0000011,2023-07-01 21:50:00,2023-07-01 22:11:00,2023-07-01 22:21:00,U05600,500105076,500103058,1.43,YouBike 2.0 電輔版
ORD0000012,2023-01-05 07:50:00,2023-01-05 08:02:00,2023-01-05 08:51:00,U05974,500101019,500101019,12.73,輕型電動車
ORD0000013,2023-09-02 17:37:00,2023-09-02 18:05:00,2023-09-02 18:53:00,U01800,500109048,500113018,10.82,輕型電動車
ORD0000014,2023-08-17 06:51:00,2023-08-17 07:10:00,2023-08-17 07:43:00,U01877,500105114,500106014,10.34,YouBike 1.0 一般版
